"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"233",1,75,10,0,85.0741865869478,0.235088935932129,0
"234",0.95,75,10,0.05,70.7516089663,0.325080946382726,0
"235",0.9,75,10,0.1,124.206528843421,0.177124344467705,0
"237",0.8,75,10,0.2,126.295145910962,0.158359213772048,0
"238",0.75,75,10,0.25,116.742950497792,0.191303485461897,0
"241",1,10,11,0,140.250419133645,0.166369080992696,0
"242",0.95,10,11,0.05,112.915026221291,0.177124344467709,0
"243",0.9,10,11,0.1,109.551238827806,0.17039210935814,0
"244",0.85,10,11,0.15,91.1117468053209,0.226827685686079,0
"246",0.75,10,11,0.25,102.376296999406,0.166054062300171,0
"249",1,30,11,0,67.8158723545364,0.275255128609844,0
"250",0.95,30,11,0.05,77.4788564569527,0.309761928576613,0
"251",0.9,30,11,0.1,129.007378467316,0.165365218556032,0
"252",0.85,30,11,0.15,86.4811019664822,0.223555584904855,0
"254",0.75,30,11,0.25,109.131802299796,0.18937345700309,0
"258",0.95,75,11,0.05,116.021802411105,0.215476742133488,0
"259",0.9,75,11,0.1,74.4742549587124,0.241694260788241,0
"262",0.75,75,11,0.25,102.738187511445,0.204403060913068,0
"263",0.7,75,11,0.3,101.623523599162,0.177124344467705,0
"265",1,10,12,0,94.263487763924,0.173273169928097,0
"266",0.95,10,12,0.05,109.058518593768,0.18033132047138,0
"267",0.9,10,12,0.1,76.4019038654413,0.248684902324241,0
"268",0.85,10,12,0.15,113.626152789073,0.167215025240938,0
"270",0.75,10,12,0.25,75.4389939510658,0.194417580332266,0
"271",0.7,10,12,0.3,101.623523598963,0.177124344468477,0
"273",1,30,12,0,102.738187466193,0.204403061051747,0
"274",0.95,30,12,0.05,120.827934107426,0.171042125476484,0
"275",0.9,30,12,0.1,95.0261066995972,0.203452861715048,0
"276",0.85,30,12,0.15,109.058518584016,0.18033132050709,0
"281",1,75,12,0,79.2414635478653,0.24398001333864,0
