"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0-0.5","0.5-0.8","0.8-1"
"470","60-100","0.02-0.04",0.2,"20-30",1,0,0
"471","60-100","0.02-0.04",0.2,"30-40",1,0,0
"472","60-100","0.02-0.04",0.2,"40-50",1,0,0
"473","60-100","0.02-0.04",0.25,"2-3",1,0,0
"474","60-100","0.02-0.04",0.25,"3-4",1,0,0
"475","60-100","0.02-0.04",0.25,"4-5",1,0,0
"476","60-100","0.02-0.04",0.25,"5-10",1,0,0
"477","60-100","0.02-0.04",0.25,"10-20",1,0,0
"478","60-100","0.02-0.04",0.25,"20-30",1,0,0
"479","60-100","0.02-0.04",0.25,"30-40",1,0,0
"480","60-100","0.02-0.04",0.25,"40-50",1,0,0
"481","60-100","0.04-0.06",0.05,"2-3",1,0,0
"482","60-100","0.04-0.06",0.05,"3-4",1,0,0
"483","60-100","0.04-0.06",0.05,"4-5",1,0,0
"484","60-100","0.04-0.06",0.05,"5-10",1,0,0
"485","60-100","0.04-0.06",0.05,"10-20",1,0,0
"486","60-100","0.04-0.06",0.05,"20-30",1,0,0
"487","60-100","0.04-0.06",0.05,"30-40",1,0,0
"488","60-100","0.04-0.06",0.05,"40-50",1,0,0
"489","60-100","0.04-0.06",0.1,"2-3",1,0,0
"490","60-100","0.04-0.06",0.1,"3-4",1,0,0
"491","60-100","0.04-0.06",0.1,"4-5",1,0,0
"492","60-100","0.04-0.06",0.1,"5-10",1,0,0
"493","60-100","0.04-0.06",0.1,"10-20",1,0,0
"494","60-100","0.04-0.06",0.1,"20-30",1,0,0
"495","60-100","0.04-0.06",0.1,"30-40",1,0,0
"496","60-100","0.04-0.06",0.1,"40-50",1,0,0
"497","60-100","0.04-0.06",0.15,"2-3",1,0,0
"498","60-100","0.04-0.06",0.15,"3-4",1,0,0
"499","60-100","0.04-0.06",0.15,"4-5",1,0,0
"500","60-100","0.04-0.06",0.15,"5-10",1,0,0
"501","60-100","0.04-0.06",0.15,"10-20",1,0,0
"502","60-100","0.04-0.06",0.15,"20-30",1,0,0
"503","60-100","0.04-0.06",0.15,"30-40",1,0,0
"504","60-100","0.04-0.06",0.15,"40-50",1,0,0
"505","60-100","0.04-0.06",0.2,"2-3",1,0,0
"506","60-100","0.04-0.06",0.2,"3-4",1,0,0
"507","60-100","0.04-0.06",0.2,"4-5",1,0,0
"508","60-100","0.04-0.06",0.2,"5-10",1,0,0
"509","60-100","0.04-0.06",0.2,"10-20",1,0,0
"510","60-100","0.04-0.06",0.2,"20-30",1,0,0
"511","60-100","0.04-0.06",0.2,"30-40",1,0,0
"512","60-100","0.04-0.06",0.2,"40-50",1,0,0
"513","60-100","0.04-0.06",0.25,"2-3",1,0,0
"514","60-100","0.04-0.06",0.25,"3-4",1,0,0
"515","60-100","0.04-0.06",0.25,"4-5",1,0,0
"516","60-100","0.04-0.06",0.25,"5-10",1,0,0
"517","60-100","0.04-0.06",0.25,"10-20",1,0,0
"518","60-100","0.04-0.06",0.25,"20-30",1,0,0
"519","60-100","0.04-0.06",0.25,"30-40",1,0,0
"520","60-100","0.04-0.06",0.25,"40-50",1,0,0
"521","60-100","0.06-0.08",0.05,"2-3",1,0,0
"522","60-100","0.06-0.08",0.05,"3-4",1,0,0
"523","60-100","0.06-0.08",0.05,"4-5",1,0,0
"524","60-100","0.06-0.08",0.05,"5-10",1,0,0
"525","60-100","0.06-0.08",0.05,"10-20",1,0,0
"526","60-100","0.06-0.08",0.05,"20-30",1,0,0
"527","60-100","0.06-0.08",0.05,"30-40",1,0,0
"528","60-100","0.06-0.08",0.05,"40-50",1,0,0
"529","60-100","0.06-0.08",0.1,"2-3",1,0,0
"530","60-100","0.06-0.08",0.1,"3-4",1,0,0
"531","60-100","0.06-0.08",0.1,"4-5",1,0,0
"532","60-100","0.06-0.08",0.1,"5-10",1,0,0
"533","60-100","0.06-0.08",0.1,"10-20",1,0,0
"534","60-100","0.06-0.08",0.1,"20-30",1,0,0
"535","60-100","0.06-0.08",0.1,"30-40",1,0,0
"536","60-100","0.06-0.08",0.1,"40-50",1,0,0
"537","60-100","0.06-0.08",0.15,"2-3",1,0,0
"538","60-100","0.06-0.08",0.15,"3-4",1,0,0
"539","60-100","0.06-0.08",0.15,"4-5",1,0,0
"540","60-100","0.06-0.08",0.15,"5-10",1,0,0
"541","60-100","0.06-0.08",0.15,"10-20",1,0,0
"542","60-100","0.06-0.08",0.15,"20-30",1,0,0
"543","60-100","0.06-0.08",0.15,"30-40",1,0,0
"544","60-100","0.06-0.08",0.15,"40-50",1,0,0
"545","60-100","0.06-0.08",0.2,"2-3",1,0,0
"546","60-100","0.06-0.08",0.2,"3-4",1,0,0
"547","60-100","0.06-0.08",0.2,"4-5",1,0,0
"548","60-100","0.06-0.08",0.2,"5-10",1,0,0
"549","60-100","0.06-0.08",0.2,"10-20",1,0,0
"550","60-100","0.06-0.08",0.2,"20-30",1,0,0
"551","60-100","0.06-0.08",0.2,"30-40",1,0,0
"552","60-100","0.06-0.08",0.2,"40-50",1,0,0
"553","60-100","0.06-0.08",0.25,"2-3",1,0,0
"554","60-100","0.06-0.08",0.25,"3-4",1,0,0
"555","60-100","0.06-0.08",0.25,"4-5",1,0,0
"556","60-100","0.06-0.08",0.25,"5-10",1,0,0
"557","60-100","0.06-0.08",0.25,"10-20",1,0,0
"558","60-100","0.06-0.08",0.25,"20-30",1,0,0
"559","60-100","0.06-0.08",0.25,"30-40",1,0,0
"560","60-100","0.06-0.08",0.25,"40-50",1,0,0
"561","60-100","0.08-0.1",0.05,"2-3",1,0,0
"562","60-100","0.08-0.1",0.05,"3-4",1,0,0
"563","60-100","0.08-0.1",0.05,"4-5",1,0,0
"564","60-100","0.08-0.1",0.05,"5-10",1,0,0
"565","60-100","0.08-0.1",0.05,"10-20",1,0,0
"566","60-100","0.08-0.1",0.05,"20-30",1,0,0
"567","60-100","0.08-0.1",0.05,"30-40",1,0,0
"568","60-100","0.08-0.1",0.05,"40-50",1,0,0
"569","60-100","0.08-0.1",0.1,"2-3",1,0,0
"570","60-100","0.08-0.1",0.1,"3-4",1,0,0
"571","60-100","0.08-0.1",0.1,"4-5",1,0,0
"572","60-100","0.08-0.1",0.1,"5-10",1,0,0
"573","60-100","0.08-0.1",0.1,"10-20",1,0,0
"574","60-100","0.08-0.1",0.1,"20-30",1,0,0
"575","60-100","0.08-0.1",0.1,"30-40",1,0,0
"576","60-100","0.08-0.1",0.1,"40-50",1,0,0
"577","60-100","0.08-0.1",0.15,"2-3",1,0,0
"578","60-100","0.08-0.1",0.15,"3-4",1,0,0
"579","60-100","0.08-0.1",0.15,"4-5",1,0,0
"580","60-100","0.08-0.1",0.15,"5-10",1,0,0
"581","60-100","0.08-0.1",0.15,"10-20",1,0,0
"582","60-100","0.08-0.1",0.15,"20-30",1,0,0
"583","60-100","0.08-0.1",0.15,"30-40",1,0,0
"584","60-100","0.08-0.1",0.15,"40-50",1,0,0
"585","60-100","0.08-0.1",0.2,"2-3",1,0,0
"586","60-100","0.08-0.1",0.2,"3-4",1,0,0
"587","60-100","0.08-0.1",0.2,"4-5",1,0,0
"588","60-100","0.08-0.1",0.2,"5-10",1,0,0
"589","60-100","0.08-0.1",0.2,"10-20",1,0,0
"590","60-100","0.08-0.1",0.2,"20-30",1,0,0
"591","60-100","0.08-0.1",0.2,"30-40",1,0,0
"592","60-100","0.08-0.1",0.2,"40-50",1,0,0
"593","60-100","0.08-0.1",0.25,"2-3",1,0,0
"594","60-100","0.08-0.1",0.25,"3-4",1,0,0
"595","60-100","0.08-0.1",0.25,"4-5",1,0,0
"596","60-100","0.08-0.1",0.25,"5-10",1,0,0
"597","60-100","0.08-0.1",0.25,"10-20",1,0,0
"598","60-100","0.08-0.1",0.25,"20-30",1,0,0
"599","60-100","0.08-0.1",0.25,"30-40",1,0,0
"600","60-100","0.08-0.1",0.25,"40-50",1,0,0
"601","100-500","0-0.02",0.05,"2-3",1,0,0
"602","100-500","0-0.02",0.05,"3-4",1,0,0
"603","100-500","0-0.02",0.05,"4-5",1,0,0
"604","100-500","0-0.02",0.05,"5-10",1,0,0
"605","100-500","0-0.02",0.05,"10-20",1,0,0
"606","100-500","0-0.02",0.05,"20-30",1,0,0
"607","100-500","0-0.02",0.05,"30-40",1,0,0
"608","100-500","0-0.02",0.05,"40-50",1,0,0
"609","100-500","0-0.02",0.1,"2-3",1,0,0
"610","100-500","0-0.02",0.1,"3-4",1,0,0
"611","100-500","0-0.02",0.1,"4-5",1,0,0
"612","100-500","0-0.02",0.1,"5-10",1,0,0
"613","100-500","0-0.02",0.1,"10-20",1,0,0
"614","100-500","0-0.02",0.1,"20-30",1,0,0
"615","100-500","0-0.02",0.1,"30-40",1,0,0
"616","100-500","0-0.02",0.1,"40-50",1,0,0
"617","100-500","0-0.02",0.15,"2-3",1,0,0
"618","100-500","0-0.02",0.15,"3-4",1,0,0
"619","100-500","0-0.02",0.15,"4-5",1,0,0
"620","100-500","0-0.02",0.15,"5-10",1,0,0
"621","100-500","0-0.02",0.15,"10-20",1,0,0
"622","100-500","0-0.02",0.15,"20-30",1,0,0
"623","100-500","0-0.02",0.15,"30-40",1,0,0
"624","100-500","0-0.02",0.15,"40-50",1,0,0
"625","100-500","0-0.02",0.2,"2-3",1,0,0
"626","100-500","0-0.02",0.2,"3-4",1,0,0
"627","100-500","0-0.02",0.2,"4-5",1,0,0
"628","100-500","0-0.02",0.2,"5-10",1,0,0
"629","100-500","0-0.02",0.2,"10-20",1,0,0
"630","100-500","0-0.02",0.2,"20-30",1,0,0
"631","100-500","0-0.02",0.2,"30-40",1,0,0
"632","100-500","0-0.02",0.2,"40-50",1,0,0
"633","100-500","0-0.02",0.25,"2-3",1,0,0
"634","100-500","0-0.02",0.25,"3-4",1,0,0
"635","100-500","0-0.02",0.25,"4-5",1,0,0
"636","100-500","0-0.02",0.25,"5-10",1,0,0
"637","100-500","0-0.02",0.25,"10-20",1,0,0
"638","100-500","0-0.02",0.25,"20-30",1,0,0
"639","100-500","0-0.02",0.25,"30-40",1,0,0
"640","100-500","0-0.02",0.25,"40-50",1,0,0
"641","100-500","0.02-0.04",0.05,"2-3",1,0,0
"642","100-500","0.02-0.04",0.05,"3-4",1,0,0
"643","100-500","0.02-0.04",0.05,"4-5",1,0,0
"644","100-500","0.02-0.04",0.05,"5-10",1,0,0
"645","100-500","0.02-0.04",0.05,"10-20",1,0,0
"646","100-500","0.02-0.04",0.05,"20-30",1,0,0
"647","100-500","0.02-0.04",0.05,"30-40",1,0,0
"648","100-500","0.02-0.04",0.05,"40-50",0.999696509863429,0.000303490136570561,0
"649","100-500","0.02-0.04",0.1,"2-3",1,0,0
"650","100-500","0.02-0.04",0.1,"3-4",1,0,0
"651","100-500","0.02-0.04",0.1,"4-5",1,0,0
"652","100-500","0.02-0.04",0.1,"5-10",1,0,0
"653","100-500","0.02-0.04",0.1,"10-20",1,0,0
"654","100-500","0.02-0.04",0.1,"20-30",1,0,0
"655","100-500","0.02-0.04",0.1,"30-40",1,0,0
"656","100-500","0.02-0.04",0.1,"40-50",1,0,0
"657","100-500","0.02-0.04",0.15,"2-3",1,0,0
"658","100-500","0.02-0.04",0.15,"3-4",1,0,0
"659","100-500","0.02-0.04",0.15,"4-5",1,0,0
"660","100-500","0.02-0.04",0.15,"5-10",1,0,0
"661","100-500","0.02-0.04",0.15,"10-20",1,0,0
"662","100-500","0.02-0.04",0.15,"20-30",1,0,0
"663","100-500","0.02-0.04",0.15,"30-40",1,0,0
"664","100-500","0.02-0.04",0.15,"40-50",1,0,0
"665","100-500","0.02-0.04",0.2,"2-3",1,0,0
"666","100-500","0.02-0.04",0.2,"3-4",1,0,0
"667","100-500","0.02-0.04",0.2,"4-5",1,0,0
"668","100-500","0.02-0.04",0.2,"5-10",1,0,0
"669","100-500","0.02-0.04",0.2,"10-20",1,0,0
"670","100-500","0.02-0.04",0.2,"20-30",1,0,0
"671","100-500","0.02-0.04",0.2,"30-40",1,0,0
"672","100-500","0.02-0.04",0.2,"40-50",1,0,0
"673","100-500","0.02-0.04",0.25,"2-3",1,0,0
"674","100-500","0.02-0.04",0.25,"3-4",1,0,0
"675","100-500","0.02-0.04",0.25,"4-5",1,0,0
"676","100-500","0.02-0.04",0.25,"5-10",1,0,0
"677","100-500","0.02-0.04",0.25,"10-20",1,0,0
"678","100-500","0.02-0.04",0.25,"20-30",1,0,0
"679","100-500","0.02-0.04",0.25,"30-40",1,0,0
"680","100-500","0.02-0.04",0.25,"40-50",1,0,0
"681","100-500","0.04-0.06",0.05,"2-3",1,0,0
"682","100-500","0.04-0.06",0.05,"3-4",1,0,0
"683","100-500","0.04-0.06",0.05,"4-5",1,0,0
"684","100-500","0.04-0.06",0.05,"5-10",1,0,0
"685","100-500","0.04-0.06",0.05,"10-20",1,0,0
"686","100-500","0.04-0.06",0.05,"20-30",1,0,0
"687","100-500","0.04-0.06",0.05,"30-40",0.99813200498132,0.00186799501867995,0
"688","100-500","0.04-0.06",0.05,"40-50",0.98096992019644,0.0190300798035605,0
"689","100-500","0.04-0.06",0.1,"2-3",1,0,0
"690","100-500","0.04-0.06",0.1,"3-4",1,0,0
"691","100-500","0.04-0.06",0.1,"4-5",1,0,0
"692","100-500","0.04-0.06",0.1,"5-10",1,0,0
"693","100-500","0.04-0.06",0.1,"10-20",1,0,0
"694","100-500","0.04-0.06",0.1,"20-30",1,0,0
"695","100-500","0.04-0.06",0.1,"30-40",0.999695214873514,0.000304785126485827,0
"696","100-500","0.04-0.06",0.1,"40-50",0.995082974800246,0.00491702519975415,0
"697","100-500","0.04-0.06",0.15,"2-3",1,0,0
"698","100-500","0.04-0.06",0.15,"3-4",1,0,0
"699","100-500","0.04-0.06",0.15,"4-5",1,0,0
"700","100-500","0.04-0.06",0.15,"5-10",1,0,0
"701","100-500","0.04-0.06",0.15,"10-20",1,0,0
"702","100-500","0.04-0.06",0.15,"20-30",1,0,0
"703","100-500","0.04-0.06",0.15,"30-40",1,0,0
"704","100-500","0.04-0.06",0.15,"40-50",0.996634026927785,0.00336597307221542,0
"705","100-500","0.04-0.06",0.2,"2-3",1,0,0
"706","100-500","0.04-0.06",0.2,"3-4",1,0,0
"707","100-500","0.04-0.06",0.2,"4-5",1,0,0
"708","100-500","0.04-0.06",0.2,"5-10",1,0,0
"709","100-500","0.04-0.06",0.2,"10-20",1,0,0
"710","100-500","0.04-0.06",0.2,"20-30",1,0,0
"711","100-500","0.04-0.06",0.2,"30-40",1,0,0
"712","100-500","0.04-0.06",0.2,"40-50",0.999074645280691,0.000925354719309068,0
"713","100-500","0.04-0.06",0.25,"2-3",1,0,0
"714","100-500","0.04-0.06",0.25,"3-4",1,0,0
"715","100-500","0.04-0.06",0.25,"4-5",1,0,0
"716","100-500","0.04-0.06",0.25,"5-10",1,0,0
"717","100-500","0.04-0.06",0.25,"10-20",1,0,0
"718","100-500","0.04-0.06",0.25,"20-30",1,0,0
"719","100-500","0.04-0.06",0.25,"30-40",1,0,0
"720","100-500","0.04-0.06",0.25,"40-50",0.999394673123487,0.000605326876513317,0
"721","100-500","0.06-0.08",0.05,"2-3",1,0,0
"722","100-500","0.06-0.08",0.05,"3-4",1,0,0
"723","100-500","0.06-0.08",0.05,"4-5",1,0,0
"724","100-500","0.06-0.08",0.05,"5-10",1,0,0
"725","100-500","0.06-0.08",0.05,"10-20",1,0,0
"726","100-500","0.06-0.08",0.05,"20-30",0.998765050941649,0.00123494905835134,0
"727","100-500","0.06-0.08",0.05,"30-40",0.95366444579043,0.04633555420957,0
"728","100-500","0.06-0.08",0.05,"40-50",0.825367647058823,0.17156862745098,0.00306372549019608
"729","100-500","0.06-0.08",0.1,"2-3",1,0,0
"730","100-500","0.06-0.08",0.1,"3-4",1,0,0
"731","100-500","0.06-0.08",0.1,"4-5",1,0,0
"732","100-500","0.06-0.08",0.1,"5-10",1,0,0
"733","100-500","0.06-0.08",0.1,"10-20",1,0,0
"734","100-500","0.06-0.08",0.1,"20-30",0.999702114983616,0.000297885016383676,0
"735","100-500","0.06-0.08",0.1,"30-40",0.98544266191325,0.0145573380867499,0
"736","100-500","0.06-0.08",0.1,"40-50",0.895341614906832,0.104658385093168,0
"737","100-500","0.06-0.08",0.15,"2-3",1,0,0
"738","100-500","0.06-0.08",0.15,"3-4",1,0,0
"739","100-500","0.06-0.08",0.15,"4-5",1,0,0
"740","100-500","0.06-0.08",0.15,"5-10",1,0,0
"741","100-500","0.06-0.08",0.15,"10-20",1,0,0
"742","100-500","0.06-0.08",0.15,"20-30",1,0,0
"743","100-500","0.06-0.08",0.15,"30-40",0.991972831120716,0.00802716887928373,0
"744","100-500","0.06-0.08",0.15,"40-50",0.882136279926335,0.117863720073665,0
"745","100-500","0.06-0.08",0.2,"2-3",1,0,0
"746","100-500","0.06-0.08",0.2,"3-4",1,0,0
"747","100-500","0.06-0.08",0.2,"4-5",1,0,0
"748","100-500","0.06-0.08",0.2,"5-10",1,0,0
"749","100-500","0.06-0.08",0.2,"10-20",1,0,0
"750","100-500","0.06-0.08",0.2,"20-30",1,0,0
"751","100-500","0.06-0.08",0.2,"30-40",0.994394269697913,0.00560573030208658,0
"752","100-500","0.06-0.08",0.2,"40-50",0.909258123850399,0.0907418761496015,0
"753","100-500","0.06-0.08",0.25,"2-3",1,0,0
"754","100-500","0.06-0.08",0.25,"3-4",1,0,0
"755","100-500","0.06-0.08",0.25,"4-5",1,0,0
"756","100-500","0.06-0.08",0.25,"5-10",1,0,0
"757","100-500","0.06-0.08",0.25,"10-20",1,0,0
"758","100-500","0.06-0.08",0.25,"20-30",1,0,0
"759","100-500","0.06-0.08",0.25,"30-40",0.993928354584092,0.00607164541590771,0
"760","100-500","0.06-0.08",0.25,"40-50",0.912216083486802,0.0877839165131983,0
"761","100-500","0.08-0.1",0.05,"2-3",1,0,0
"762","100-500","0.08-0.1",0.05,"3-4",1,0,0
"763","100-500","0.08-0.1",0.05,"4-5",1,0,0
"764","100-500","0.08-0.1",0.05,"5-10",1,0,0
"765","100-500","0.08-0.1",0.05,"10-20",1,0,0
"766","100-500","0.08-0.1",0.05,"20-30",0.97442143727162,0.02557856272838,0
"767","100-500","0.08-0.1",0.05,"30-40",0.820544176092938,0.178538673188627,0.000917150718434729
"768","100-500","0.08-0.1",0.05,"40-50",0.603997501561524,0.381011867582761,0.0149906308557152
"769","100-500","0.08-0.1",0.1,"2-3",1,0,0
"770","100-500","0.08-0.1",0.1,"3-4",1,0,0
"771","100-500","0.08-0.1",0.1,"4-5",1,0,0
"772","100-500","0.08-0.1",0.1,"5-10",1,0,0
"773","100-500","0.08-0.1",0.1,"10-20",1,0,0
"774","100-500","0.08-0.1",0.1,"20-30",0.992992078001219,0.00700792199878123,0
"775","100-500","0.08-0.1",0.1,"30-40",0.898555179833999,0.101444820166001,0
"776","100-500","0.08-0.1",0.1,"40-50",0.671056569889255,0.328943430110745,0
"777","100-500","0.08-0.1",0.15,"2-3",1,0,0
"778","100-500","0.08-0.1",0.15,"3-4",1,0,0
"779","100-500","0.08-0.1",0.15,"4-5",1,0,0
"780","100-500","0.08-0.1",0.15,"5-10",1,0,0
"781","100-500","0.08-0.1",0.15,"10-20",1,0,0
"782","100-500","0.08-0.1",0.15,"20-30",0.99594383775351,0.00405616224648986,0
"783","100-500","0.08-0.1",0.15,"30-40",0.879938271604938,0.120061728395062,0
"784","100-500","0.08-0.1",0.15,"40-50",0.627155848228285,0.372530573847601,0.000313577924114142
"785","100-500","0.08-0.1",0.2,"2-3",1,0,0
"786","100-500","0.08-0.1",0.2,"3-4",1,0,0
"787","100-500","0.08-0.1",0.2,"4-5",1,0,0
"788","100-500","0.08-0.1",0.2,"5-10",1,0,0
"789","100-500","0.08-0.1",0.2,"10-20",1,0,0
"790","100-500","0.08-0.1",0.2,"20-30",0.997863247863248,0.00213675213675214,0
"791","100-500","0.08-0.1",0.2,"30-40",0.905169776690119,0.0948302233098807,0
"792","100-500","0.08-0.1",0.2,"40-50",0.653073833796725,0.346617238183503,0.000308928019771393
"793","100-500","0.08-0.1",0.25,"2-3",1,0,0
"794","100-500","0.08-0.1",0.25,"3-4",1,0,0
"795","100-500","0.08-0.1",0.25,"4-5",1,0,0
"796","100-500","0.08-0.1",0.25,"5-10",1,0,0
"797","100-500","0.08-0.1",0.25,"10-20",1,0,0
"798","100-500","0.08-0.1",0.25,"20-30",0.998786039453718,0.00121396054628225,0
"799","100-500","0.08-0.1",0.25,"30-40",0.908172635445363,0.0918273645546373,0
"800","100-500","0.08-0.1",0.25,"40-50",0.662298079853703,0.337701920146297,0
"801","500-1000","0-0.02",0.05,"2-3",1,0,0
"802","500-1000","0-0.02",0.05,"3-4",1,0,0
"803","500-1000","0-0.02",0.05,"4-5",1,0,0
"804","500-1000","0-0.02",0.05,"5-10",1,0,0
"805","500-1000","0-0.02",0.05,"10-20",1,0,0
"806","500-1000","0-0.02",0.05,"20-30",1,0,0
"807","500-1000","0-0.02",0.05,"30-40",1,0,0
"808","500-1000","0-0.02",0.05,"40-50",1,0,0
"809","500-1000","0-0.02",0.1,"2-3",1,0,0
"810","500-1000","0-0.02",0.1,"3-4",1,0,0
"811","500-1000","0-0.02",0.1,"4-5",1,0,0
"812","500-1000","0-0.02",0.1,"5-10",1,0,0
"813","500-1000","0-0.02",0.1,"10-20",1,0,0
"814","500-1000","0-0.02",0.1,"20-30",1,0,0
"815","500-1000","0-0.02",0.1,"30-40",1,0,0
"816","500-1000","0-0.02",0.1,"40-50",1,0,0
"817","500-1000","0-0.02",0.15,"2-3",1,0,0
"818","500-1000","0-0.02",0.15,"3-4",1,0,0
"819","500-1000","0-0.02",0.15,"4-5",1,0,0
"820","500-1000","0-0.02",0.15,"5-10",1,0,0
"821","500-1000","0-0.02",0.15,"10-20",1,0,0
"822","500-1000","0-0.02",0.15,"20-30",1,0,0
"823","500-1000","0-0.02",0.15,"30-40",1,0,0
"824","500-1000","0-0.02",0.15,"40-50",1,0,0
"825","500-1000","0-0.02",0.2,"2-3",1,0,0
"826","500-1000","0-0.02",0.2,"3-4",1,0,0
"827","500-1000","0-0.02",0.2,"4-5",1,0,0
"828","500-1000","0-0.02",0.2,"5-10",1,0,0
"829","500-1000","0-0.02",0.2,"10-20",1,0,0
"830","500-1000","0-0.02",0.2,"20-30",1,0,0
"831","500-1000","0-0.02",0.2,"30-40",1,0,0
"832","500-1000","0-0.02",0.2,"40-50",1,0,0
"833","500-1000","0-0.02",0.25,"2-3",1,0,0
"834","500-1000","0-0.02",0.25,"3-4",1,0,0
"835","500-1000","0-0.02",0.25,"4-5",1,0,0
"836","500-1000","0-0.02",0.25,"5-10",1,0,0
"837","500-1000","0-0.02",0.25,"10-20",1,0,0
"838","500-1000","0-0.02",0.25,"20-30",1,0,0
"839","500-1000","0-0.02",0.25,"30-40",1,0,0
"840","500-1000","0-0.02",0.25,"40-50",1,0,0
"841","500-1000","0.02-0.04",0.05,"2-3",1,0,0
"842","500-1000","0.02-0.04",0.05,"3-4",1,0,0
"843","500-1000","0.02-0.04",0.05,"4-5",1,0,0
"844","500-1000","0.02-0.04",0.05,"5-10",1,0,0
"845","500-1000","0.02-0.04",0.05,"10-20",1,0,0
"846","500-1000","0.02-0.04",0.05,"20-30",1,0,0
"847","500-1000","0.02-0.04",0.05,"30-40",1,0,0
"848","500-1000","0.02-0.04",0.05,"40-50",0.998522531396208,0.00147746860379217,0
"849","500-1000","0.02-0.04",0.1,"2-3",1,0,0
"850","500-1000","0.02-0.04",0.1,"3-4",1,0,0
"851","500-1000","0.02-0.04",0.1,"4-5",1,0,0
"852","500-1000","0.02-0.04",0.1,"5-10",1,0,0
"853","500-1000","0.02-0.04",0.1,"10-20",1,0,0
"854","500-1000","0.02-0.04",0.1,"20-30",1,0,0
"855","500-1000","0.02-0.04",0.1,"30-40",1,0,0
"856","500-1000","0.02-0.04",0.1,"40-50",0.999762300927026,0.000237699072973615,0
"857","500-1000","0.02-0.04",0.15,"2-3",1,0,0
"858","500-1000","0.02-0.04",0.15,"3-4",1,0,0
"859","500-1000","0.02-0.04",0.15,"4-5",1,0,0
"860","500-1000","0.02-0.04",0.15,"5-10",1,0,0
"861","500-1000","0.02-0.04",0.15,"10-20",1,0,0
"862","500-1000","0.02-0.04",0.15,"20-30",1,0,0
"863","500-1000","0.02-0.04",0.15,"30-40",1,0,0
"864","500-1000","0.02-0.04",0.15,"40-50",1,0,0
"865","500-1000","0.02-0.04",0.2,"2-3",1,0,0
"866","500-1000","0.02-0.04",0.2,"3-4",1,0,0
"867","500-1000","0.02-0.04",0.2,"4-5",1,0,0
"868","500-1000","0.02-0.04",0.2,"5-10",1,0,0
"869","500-1000","0.02-0.04",0.2,"10-20",1,0,0
"870","500-1000","0.02-0.04",0.2,"20-30",1,0,0
"871","500-1000","0.02-0.04",0.2,"30-40",1,0,0
"872","500-1000","0.02-0.04",0.2,"40-50",1,0,0
"873","500-1000","0.02-0.04",0.25,"2-3",1,0,0
"874","500-1000","0.02-0.04",0.25,"3-4",1,0,0
"875","500-1000","0.02-0.04",0.25,"4-5",1,0,0
"876","500-1000","0.02-0.04",0.25,"5-10",1,0,0
"877","500-1000","0.02-0.04",0.25,"10-20",1,0,0
"878","500-1000","0.02-0.04",0.25,"20-30",1,0,0
"879","500-1000","0.02-0.04",0.25,"30-40",1,0,0
"880","500-1000","0.02-0.04",0.25,"40-50",1,0,0
"881","500-1000","0.04-0.06",0.05,"2-3",1,0,0
"882","500-1000","0.04-0.06",0.05,"3-4",1,0,0
"883","500-1000","0.04-0.06",0.05,"4-5",1,0,0
"884","500-1000","0.04-0.06",0.05,"5-10",1,0,0
"885","500-1000","0.04-0.06",0.05,"10-20",1,0,0
"886","500-1000","0.04-0.06",0.05,"20-30",0.999265066144047,0.000734933855952964,0
"887","500-1000","0.04-0.06",0.05,"30-40",0.981012658227848,0.0189873417721519,0
"888","500-1000","0.04-0.06",0.05,"40-50",0.861907114624506,0.136857707509881,0.00123517786561265
"889","500-1000","0.04-0.06",0.1,"2-3",1,0,0
"890","500-1000","0.04-0.06",0.1,"3-4",1,0,0
"891","500-1000","0.04-0.06",0.1,"4-5",1,0,0
"892","500-1000","0.04-0.06",0.1,"5-10",1,0,0
"893","500-1000","0.04-0.06",0.1,"10-20",1,0,0
"894","500-1000","0.04-0.06",0.1,"20-30",1,0,0
"895","500-1000","0.04-0.06",0.1,"30-40",0.997305242528172,0.00269475747182754,0
"896","500-1000","0.04-0.06",0.1,"40-50",0.926052889324192,0.073947110675808,0
"897","500-1000","0.04-0.06",0.15,"2-3",1,0,0
"898","500-1000","0.04-0.06",0.15,"3-4",1,0,0
"899","500-1000","0.04-0.06",0.15,"4-5",1,0,0
"900","500-1000","0.04-0.06",0.15,"5-10",1,0,0
"901","500-1000","0.04-0.06",0.15,"10-20",1,0,0
"902","500-1000","0.04-0.06",0.15,"20-30",1,0,0
"903","500-1000","0.04-0.06",0.15,"30-40",0.998780785174348,0.00121921482565228,0
"904","500-1000","0.04-0.06",0.15,"40-50",0.929041697147037,0.0709583028529627,0
"905","500-1000","0.04-0.06",0.2,"2-3",1,0,0
"906","500-1000","0.04-0.06",0.2,"3-4",1,0,0
"907","500-1000","0.04-0.06",0.2,"4-5",1,0,0
"908","500-1000","0.04-0.06",0.2,"5-10",1,0,0
"909","500-1000","0.04-0.06",0.2,"10-20",1,0,0
"910","500-1000","0.04-0.06",0.2,"20-30",1,0,0
"911","500-1000","0.04-0.06",0.2,"30-40",1,0,0
"912","500-1000","0.04-0.06",0.2,"40-50",0.947368421052632,0.0526315789473684,0
"913","500-1000","0.04-0.06",0.25,"2-3",1,0,0
"914","500-1000","0.04-0.06",0.25,"3-4",1,0,0
"915","500-1000","0.04-0.06",0.25,"4-5",1,0,0
