"","rep","gamma2","year","Ntrue","Nhat"
"1",1,0,1,349,340.655115962175
"2",1,0,2,264,247.25863082941
"3",1,0,3,223,212.234892808991
"4",1,0,4,186,181.102606352593
"5",1,0,5,144,142.187172172021
"6",1,0,6,120,122.729362560994
"7",1,0,7,100,101.974273249006
"8",1,0,8,73,70.8412361963578
"9",1,0,9,66,61.7605869999591
"10",1,0,10,48,43.598727512213
"11",1,0,1,349,340.655115962175
"12",1,0,2,264,247.25863082941
"13",1,0,3,223,212.234892808991
"14",1,0,4,186,181.102606352593
"15",1,0,5,144,142.187172172021
"16",1,0,6,120,122.729362560994
"17",1,0,7,100,101.974273249006
"18",1,0,8,73,70.8412361963578
"19",1,0,9,66,61.7605869999591
"20",1,0,10,48,43.598727512213
"21",1,0,1,349,340.655115962175
"22",1,0,2,264,247.25863082941
"23",1,0,3,223,212.234892808991
"24",1,0,4,186,181.102606352593
"25",1,0,5,144,142.187172172021
"26",1,0,6,120,122.729362560994
"27",1,0,7,100,101.974273249006
"28",1,0,8,73,70.8412361963578
"29",1,0,9,66,61.7605869999591
"30",1,0,10,48,43.598727512213
"31",1,0,1,349,340.655115962175
"32",1,0,2,264,247.25863082941
"33",1,0,3,223,212.234892808991
"34",1,0,4,186,181.102606352593
"35",1,0,5,144,142.187172172021
"36",1,0,6,120,122.729362560994
"37",1,0,7,100,101.974273249006
"38",1,0,8,73,70.8412361963578
"39",1,0,9,66,61.7605869999591
"40",1,0,10,48,43.598727512213
"41",2,0.05,1,358,521.355795673682
"42",2,0.05,2,263,375.06710252895
"43",2,0.05,3,214,331.4618749157
"44",2,0.05,4,192,252.690905148426
"45",2,0.05,5,144,200.645768569586
"46",2,0.05,6,115,175.326507246807
"47",2,0.05,7,83,131.720904158818
"48",2,0.05,8,58,86.7083186182314
"49",2,0.05,9,49,75.4550518160779
"50",2,0.05,10,50,64.2016643280459
"51",2,0.05,1,358,521.355795673682
"52",2,0.05,2,263,375.06710252895
"53",2,0.05,3,214,331.4618749157
"54",2,0.05,4,192,252.690905148426
"55",2,0.05,5,144,200.645768569586
"56",2,0.05,6,115,175.326507246807
"57",2,0.05,7,83,131.720904158818
"58",2,0.05,8,58,86.7083186182314
"59",2,0.05,9,49,75.4550518160779
"60",2,0.05,10,50,64.2016643280459
"61",2,0.05,1,358,521.355795673682
"62",2,0.05,2,263,375.06710252895
"63",2,0.05,3,214,331.4618749157
