"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"84","1-30","0.04-0.06",0.05,"5-10",0.785714285714286,0.214285714285714
"85","1-30","0.04-0.06",0.05,"10-20",0.718061674008811,0.281938325991189
"86","1-30","0.04-0.06",0.05,"20-30",0.598425196850394,0.401574803149606
"87","1-30","0.04-0.06",0.05,"30-40",0.546938775510204,0.453061224489796
"88","1-30","0.04-0.06",0.05,"40-50",0.572093023255814,0.427906976744186
"89","1-30","0.04-0.06",0.1,"2-3",0.8,0.2
"90","1-30","0.04-0.06",0.1,"3-4",0.78125,0.21875
"91","1-30","0.04-0.06",0.1,"4-5",0.576923076923077,0.423076923076923
"92","1-30","0.04-0.06",0.1,"5-10",0.578571428571429,0.421428571428571
"93","1-30","0.04-0.06",0.1,"10-20",0.468879668049793,0.531120331950207
"94","1-30","0.04-0.06",0.1,"20-30",0.41025641025641,0.58974358974359
"95","1-30","0.04-0.06",0.1,"30-40",0.352697095435685,0.647302904564315
"96","1-30","0.04-0.06",0.1,"40-50",0.316,0.684
"97","1-30","0.04-0.06",0.15,"2-3",0.810344827586207,0.189655172413793
"98","1-30","0.04-0.06",0.15,"3-4",0.636363636363636,0.363636363636364
"99","1-30","0.04-0.06",0.15,"4-5",0.636363636363636,0.363636363636364
"100","1-30","0.04-0.06",0.15,"5-10",0.496062992125984,0.503937007874016
"101","1-30","0.04-0.06",0.15,"10-20",0.336099585062241,0.663900414937759
"102","1-30","0.04-0.06",0.15,"20-30",0.250936329588015,0.749063670411985
"103","1-30","0.04-0.06",0.15,"30-40",0.197309417040359,0.802690582959641
"104","1-30","0.04-0.06",0.15,"40-50",0.236286919831224,0.763713080168776
"105","1-30","0.04-0.06",0.2,"2-3",0.672727272727273,0.327272727272727
"106","1-30","0.04-0.06",0.2,"3-4",0.583333333333333,0.416666666666667
"107","1-30","0.04-0.06",0.2,"4-5",0.551724137931034,0.448275862068966
"108","1-30","0.04-0.06",0.2,"5-10",0.382352941176471,0.617647058823529
"109","1-30","0.04-0.06",0.2,"10-20",0.273076923076923,0.726923076923077
"110","1-30","0.04-0.06",0.2,"20-30",0.198380566801619,0.801619433198381
"111","1-30","0.04-0.06",0.2,"30-40",0.197424892703863,0.802575107296137
