segment,quantile,val
3,0.99,1165.1
3,1,1170
4,0,361
4,0.01,370.7
4,0.02,375
4,0.03,376.1
4,0.04,380
4,0.05,383
4,0.06,385.2
4,0.07,388
4,0.08,389
4,0.09,390.3
4,0.1,392
4,0.11,392
4,0.12,394
4,0.13,397
4,0.14,398
4,0.15,401.5
4,0.16,403.2
4,0.17,404.9
4,0.18,406
4,0.19,407.3
4,0.2,408
4,0.21,409
4,0.22,410
4,0.23,411
4,0.24,411.8
4,0.25,413
4,0.26,414.2
4,0.27,415.9
4,0.28,418
4,0.29,419
4,0.3,420
4,0.31,422
4,0.32,423
4,0.33,425
4,0.34,425
4,0.35,425.5
4,0.36,426.2
4,0.37,428.9
4,0.38,429
4,0.39,431
4,0.4,432
4,0.41,433
4,0.42,433
4,0.43,437
4,0.44,438.8
4,0.45,443
4,0.46,443.2
4,0.47,445
4,0.48,446
4,0.49,449.3
4,0.5,453
4,0.51,453.7
4,0.52,455
4,0.53,457
4,0.54,458.8
4,0.55,463
4,0.56,466
4,0.57,467
4,0.58,469
4,0.59,472
4,0.6,473
4,0.61,478
4,0.62,480
4,0.63,482
4,0.64,483.8
4,0.65,487
4,0.66,490.2
4,0.67,492.9
4,0.68,494.6
4,0.69,498
4,0.7,502
4,0.71,507.7
4,0.72,514.4
4,0.73,523.3
4,0.74,532.8
4,0.75,541.5
4,0.76,543.4
4,0.77,555.6
4,0.78,563.8
4,0.79,582.9
4,0.8,594
4,0.81,603.1
4,0.82,619.6
4,0.83,634.3
4,0.84,654.4
4,0.85,703
4,0.86,758.4
4,0.87,772
4,0.88,793.2
4,0.89,818.2
4,0.9,831
4,0.91,848.8
4,0.92,861.4
4,0.93,882.1
4,0.94,895
4,0.95,913.5
4,0.96,1008.8
4,0.97,1050
4,0.98,1270.6
4,0.99,1421.3
4,1,1625
5,0,350
5,0.01,350
5,0.02,350
5,0.03,350
5,0.04,350
5,0.05,365.6
5,0.06,389.52
5,0.07,413.44
5,0.08,437.36
5,0.09,455.12
5,0.1,458.8
5,0.11,462.48
5,0.12,466.16
5,0.13,469.84
5,0.14,470
5,0.15,470
5,0.16,470
5,0.17,470
5,0.18,472.38
5,0.19,476.29
5,0.2,480.2
5,0.21,484.11
5,0.22,488.2
5,0.23,492.8
5,0.24,497.4
5,0.25,502
5,0.26,506.6
5,0.27,512.67
5,0.28,518.88
5,0.29,525.09
5,0.3,531.3
5,0.31,537.12
5,0.32,542.64
5,0.33,548.16
5,0.34,553.68
5,0.35,558
5,0.36,558
5,0.37,558
5,0.38,558
5,0.39,558
5,0.4,562.8
5,0.41,568.32
5,0.42,573.84
5,0.43,579.36
5,0.44,582.84
5,0.45,584.45
5,0.46,586.06
5,0.47,587.67
5,0.48,589.08
5,0.49,589.54
5,0.5,590
5,0.51,590.46
5,0.52,590.92
5,0.53,592.52
5,0.54,594.36
5,0.55,596.2
5,0.56,598.04
5,0.57,599.22
5,0.58,599.68
5,0.59,600.14
5,0.6,600.6
5,0.61,601.66
5,0.62,606.72
5,0.63,611.78
5,0.64,616.84
5,0.65,621.9
5,0.66,625.7
5,0.67,629.15
5,0.68,632.6
5,0.69,636.05
5,0.7,640.4
5,0.71,645.92
5,0.72,651.44
5,0.73,656.96
5,0.74,662.08
5,0.75,663
5,0.76,663.92
5,0.77,664.84
5,0.78,665.76
5,0.79,667.36
5,0.8,669.2
5,0.81,671.04
5,0.82,672.88
5,0.83,675.89
5,0.84,680.72
5,0.85,685.55
5,0.86,690.38
5,0.87,695.1
5,0.88,697.4
5,0.89,699.7
5,0.9,702
5,0.91,704.3
5,0.92,714.76
5,0.93,728.79
5,0.94,742.82
5,0.95,756.85
5,0.96,766.88
5,0.97,769.41
5,0.98,771.94
5,0.99,774.47
5,1,777
6,0,501
6,0.01,503.37
6,0.02,515.6
6,0.03,524
6,0.04,524
6,0.05,524
6,0.06,529.92
6,0.07,533.59
6,0.08,535
6,0.09,535.88
6,0.1,542.2
6,0.11,546.45
6,0.12,548.48
6,0.13,549
6,0.14,549.12
6,0.15,550.7
6,0.16,551
6,0.17,552.72
6,0.18,556.1
6,0.19,560.03
6,0.2,562.4
6,0.21,565.95
6,0.22,568.38
6,0.23,570.53
6,0.24,577.64
6,0.25,579.5
6,0.26,580.54
6,0.27,581.33
6,0.28,582
6,0.29,582
6,0.3,582
6,0.31,582.49
6,0.32,583.28
6,0.33,584.14
6,0.34,585.72
6,0.35,587.95
6,0.36,589
6,0.37,589.23
6,0.38,590
6,0.39,590
6,0.4,590
6,0.41,590.78
6,0.42,592
6,0.43,592
6,0.44,594.28
6,0.45,595.55
6,0.46,597.02
6,0.47,599.78
6,0.48,604.52
6,0.49,605.71
6,0.5,607.5
6,0.51,609.87
6,0.52,612.16
6,0.53,613.74
6,0.54,615.32
6,0.55,618.7
6,0.56,623.68
6,0.57,629.03
6,0.58,629.82
6,0.59,630
6,0.6,630
6,0.61,630.95
6,0.62,634.9
6,0.63,635.77
6,0.64,636.56
6,0.65,638.4
6,0.66,641.42
6,0.67,643.79
6,0.68,646.88
6,0.69,649.53
6,0.7,651.9
6,0.71,656.25
6,0.72,676
6,0.73,683.69
6,0.74,686.46
6,0.75,687.75
6,0.76,690.28
6,0.77,695.81
6,0.78,701.34
6,0.79,706.46
6,0.8,710.6
6,0.81,712.97
6,0.82,713
6,0.83,714.14
6,0.84,715.36
6,0.85,716.6
6,0.86,719.76
6,0.87,733.87
6,0.88,742.64
6,0.89,752.82
6,0.9,769.5
6,0.91,781.35
6,0.92,810.2
6,0.93,853.08
6,0.94,888.56
6,0.95,897.5
6,0.96,968.6
6,0.97,1058.6
6,0.98,1105.52
6,0.99,1109.21
6,1,1110
7,0,341
7,0.01,343.46
7,0.02,345.92
7,0.03,349.3
7,0.04,353.4
7,0.05,357.05
7,0.06,357.46
7,0.07,357.87
7,0.08,363.6
7,0.09,371.8
7,0.1,380.4
7,0.11,390.24
7,0.12,400.08
7,0.13,421.14
7,0.14,444.92
7,0.15,464.2
7,0.16,475.68
7,0.17,487.16
7,0.18,491.8
7,0.19,495.9
7,0.2,499.2
7,0.21,501.66
7,0.22,504.02
7,0.23,504.43
7,0.24,504.84
7,0.25,506.5
