"","GN14.1","GN14.2","GN14.3","GN14.4","GN14.5","GN14.6","GN14.7","GN14.8","GN14.9","GN14.10","GN18.1","GN18.2","GN18.3","GN18.4","GN18.5","GN18.6","GN18.7","GN18.8","GN18.9","GN18.10","GN41.1","GN41.2","GN41.3","GN41.4","GN41.5","GN41.6","GN41.7","GN41.8","GN41.9","GN41.10","GN81.1","GN81.2","GN81.3","GN81.4","GN81.5","GN81.6","GN81.7","GN81.8","GN81.9","GN81.10","MF.1","MF.2","MF.3","MF.4","MF.5","MF.6","MF.7","MF.8","MF.9","MF.10","OT16.1","OT16.2","OT16.3","OT16.4","OT16.5","OT16.6","OT16.7","OT16.8","OT16.9","OT16.10","TLC1.1","TLC1.2","TLC1.3","TLC1.4","TLC1.5","TLC1.6","TLC1.7","TLC1.8","TLC1.9","TLC1.10","TLC2.1","TLC2.2","TLC2.3","TLC2.4","TLC2.5","TLC2.6","TLC2.7","TLC2.8","TLC2.9","TLC2.10","TN.1","TN.2","TN.3","TN.4","TN.5","TN.6","TN.7","TN.8","TN.9","TN.10"
"423",14,14,16,7,7,12,11,7,9,6,13,14,6,12,13,18,6,12,9,3,18,17,13,8,15,10,11,10,4,6,16,14,11,11,11,11,7,7,5,7,19,16,16,10,14,10,11,7,6,7,0,4,0,0,0,2,0,0,0,0,13,11,14,13,11,5,13,5,6,7,8,13,11,12,12,11,13,5,8,7,1,1,0,1,0,3,0,0,0,0
"424",4,4,3,6,4,8,6,5,7,2,5,4,6,4,5,4,5,5,5,2,5,9,5,7,6,7,7,3,2,2,2,6,6,5,4,5,2,0,4,4,2,7,3,8,3,5,3,4,7,2,0,0,0,0,0,0,0,0,1,1,7,4,7,7,2,3,3,3,2,4,5,3,5,6,5,8,3,2,2,3,0,0,1,0,2,0,0,0,1,0
"425",9,4,8,10,3,6,7,7,6,8,9,7,6,5,7,7,4,7,5,5,10,9,6,9,6,10,7,4,9,8,7,7,6,5,4,5,3,4,8,7,11,5,7,9,9,7,4,6,5,6,0,0,1,0,0,0,0,0,2,0,11,11,9,12,8,7,3,3,4,8,7,5,5,5,11,4,5,6,4,6,0,1,0,1,0,0,1,0,1,1
"426",16,15,19,14,12,17,13,8,21,10,20,16,13,7,16,12,17,12,14,17,14,16,19,14,16,10,18,13,14,18,18,18,15,10,16,12,6,14,16,13,16,18,12,9,10,8,15,16,16,15,0,0,1,0,0,0,1,0,2,0,18,10,22,15,20,14,16,22,13,6,17,13,15,21,16,13,13,13,8,16,0,1,2,1,0,0,0,0,1,0
"427",19,14,12,11,9,9,11,10,9,11,13,10,14,9,15,13,11,11,5,15,19,12,15,8,14,11,10,8,10,16,14,11,15,8,15,5,13,8,12,3,13,16,13,13,15,13,9,15,10,11,0,1,0,0,0,1,0,1,0,1,13,17,13,14,11,12,1,11,6,12,16,12,12,7,13,18,9,10,11,9,0,1,0,0,1,0,0,0,0,0
"428",16,14,19,16,12,6,9,14,13,10,13,15,17,17,12,10,13,14,8,6,18,14,16,17,11,15,12,11,10,8,17,19,13,16,17,14,11,14,7,5,13,20,11,15,13,10,13,13,3,9,0,0,0,1,0,0,0,0,0,0,16,17,19,16,10,14,10,11,10,10,17,16,20,4,19,13,10,9,11,13,0,0,1,1,0,0,0,1,0,0
"429",12,9,11,10,7,9,7,3,3,3,16,9,7,1,8,4,4,6,6,4,8,7,6,7,8,6,7,5,0,5,7,10,8,6,8,2,4,7,6,5,14,5,5,7,5,7,6,3,4,9,0,0,0,0,0,0,0,0,0,0,6,10,11,10,5,5,3,4,2,3,9,8,8,5,5,4,3,4,2,6,0,1,0,1,0,0,0,1,0,1
"430",10,13,8,8,4,11,4,6,6,5,8,14,9,5,8,7,8,5,6,7,9,9,9,6,5,9,4,8,10,4,7,5,11,6,7,8,7,5,8,8,8,8,4,5,6,9,6,3,6,5,1,0,0,1,0,1,0,0,0,0,9,9,7,11,9,8,9,8,5,4,9,7,9,4,7,5,6,5,7,9,0,0,0,0,0,0,1,0,0,0
"431",17,18,13,14,13,12,11,10,12,10,16,16,12,12,14,14,11,11,10,10,19,18,15,13,17,12,11,7,8,10,13,14,14,15,13,10,9,14,15,9,17,14,17,15,12,7,13,16,13,7,0,0,0,0,1,0,2,0,0,0,11,16,15,12,10,13,17,13,7,13,15,15,10,17,10,15,13,8,10,9,1,1,0,1,0,0,0,0,0,0
"432",8,9,8,6,8,3,7,9,7,7,14,9,8,6,11,5,2,8,7,7,12,9,7,4,5,5,9,4,6,7,12,6,7,9,8,5,4,9,6,8,4,8,10,8,9,4,6,12,3,9,0,0,0,1,1,0,0,1,0,0,9,7,10,9,9,10,3,7,5,4,7,8,12,4,9,9,8,6,9,6,0,0,0,0,0,0,0,1,1,0
